behavior,behavior_description,behavior_source,start_date,end_date,vertical,vertical_evidence,vertical_source,horizontal,horizontal_evidence,horizontal_source,oblique,oblique_evidence,oblique_source,domains,domains_evidence,domains_source,anth_effects,anth_source,group_id,behavior_id
Suaq Balimbing orangutans Neesia tool use,using stick tools to extract seeds from Neesia fruits,vanschaikknott2001,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,unclear,"Suaq orangutans ""are also the most gregarious and socially tolerant among the known study populations (van Schaik, 1999; van Schaik et al., 1999). Likewise, the two other swamps with known Neesia tool use have high densities, and therefore probably above-average gregariousness and social tolerance. Hence, suitable transmission conditions are probably the critical factor to explain the geographic distribution of skills such as feeding tool use in orangutans"" (van Schaik & Knott 2001)",vanschaikknott2001,suspected unknown,suspected unknown,suspected unknown,foraging,,vanschaikknott2001,not searched,not searched,700092,101
Suaq Balimbing orangutans bunk nesting,building a nest above usual resting nest during rainy weather,schupplivanschaik2019,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,architecture,,schupplivanschaik2019,not searched,not searched,700092,102
Suaq Balimbing orangutans slow loris hunting,finding and eating slow lorises hiding in vegetation,schupplivanschaik2019,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,schupplivanschaik2019,not searched,not searched,700092,103
T-type killer whales discrete calls,"Most common type of killer whale vocalization are pulsed calls, which are one of stereotyped discrete, variable, or aberrant. ""The results of this study show that transient killer whales produce communicative vocalizations only extremely rarely. Transient killer whales vocalized significantly less often than residents, and for all behaviour categories except surface-active and milling after kill, the median call rate was zero."" Unlike the fish preyed on by residents, the marine mammals preyed on by transients have hearing ranges that can detect killer whale calls, changing costs of vocal communication and likely explaining limited use of calls among transients. ""Mammal-eating killer whales often share their prey (Jefferson et al. 1991), and sharing of prey items was common during the kills observed in this study. Vocal behaviour may be an essential part of delineating social relationships during the sharing of prey, which could also explain why it increased after a successful attack."" (Deecke et al. 2005)",deecke2005,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging; social,"""The results of this study combined with those of Barrett-Lennard et al. (1996) and Deecke et al. (2002) suggest that stealth and surprise are important elements of the hunting strategy of transient killer whales. This requires behaviour to be coordinated since, in order to avoid detection, all individuals in a group must refrain from vocalizing."" (Deecke et al. 2005)",deecke2005,not searched,not searched,700093,104
T-type killer whales whistles,"Repertoire of three stereotyped whistles (compared with 11 or so for residents). ""whistles of transient killer whales generally have lower dominant frequencies, narrower frequency ranges, are shorter in duration, and have fewer frequency modulations...in addition to having repertoires of pulsed calls that are distinct from residents (Ford 1984; Deecke 2003), transient killer whales also have a distinct, population-specific repertoire of whistles...rather than being the predominant acoustic signal during social interactions, transients generally do not vocalize at all except during “milling after kill” and “surface-active” behaviors (Deecke et al. 2005; this study). However, once the animals start to get vocally active both pulsed call and whistle rates increase simultaneously (Deecke et al. 2005; this study)...we hypothesize that whistles in transient killer whales may also serve as signals that facilitate and coordinate close-range interactions during surface-active behavior (similar to socializing in resident killer whales) and prey handling during feeding"" (Riesch & Deecke 2011)",riesch2011,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,"tends to be used during hunting in ""milling after kill"" and ""surface-active"" behaviors, but not during other activities as with residents",riesch2011,not searched,not searched,700093,105
Tank Farm cacique colony vocal dialect,"Males sing in ""nesting colonies of up to 100 nests in a single tree...all adult male members of a colony shared the same set of 5 to 8 song types...defined cacique dialects as systems of shared songs in which all song types were shared among all males in an area. I considered two colonies that held only some of their song types in common to belong to different dialects because a male at one colony shared only part of his repertoire with a male at the other colony"". Song types distinct and consistent within colonies throughout the season, although some would change gradually, and would sometimes change types between breeding seasons, either from the gradual changes from previous season and throughout the year or new variants from males dispersing from other dialect areas. ""while some song types were introduced from other colonies, most songs underwent gradual change, with new versions arising within colonies. Because these gradual changes were directional, they are unlikely to have been produced by copy-error or cultural drift, and may have resulted from cultural adaptation, in which individuals benefit by adopting certain cultural variants."" (Trainer 1989)",trainer1989,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,yes,"""Two phenomena contributed to the maintenance of uniformity within colonies: the adoption of local song types by dispersing males, and the conformity among individuals in the gradual changes that occurred in songs"". Males would adopt completely dialect of new colony after dispersal and did not retain any elements from previous colony",trainer1989,suspected unknown,suspected unknown,suspected unknown,vocal communication; mating,,trainer1989,not searched,not searched,700094,106
Taunton bowerbirds bower design,"Bowerbirds build elaborate structures from a variety of materials as display to females. In Taunton National Park, ""bowers that were geographically close to each other were highly similar in their usage of decorations. These patterns cannot be explained simply by similarities in the availability of object in neighbouring areas, because decoration usage did not relate to potential availability in the local environment. Neither did the type of decoration used relate to the canopy structure of the bush under which the bower was built (i.e. similar display environments), although there was some evidence that geographically close bowers were more likely to be built under similar species of bushes. Similarity of decoration usage also cannot be predicted by genetic similarity of the owners, because relatives do not display close to each other (Madden et al. 2004), and, in the present study, did not use similar suites of decorations. Instead, the similarities in the decorations patterns of neighbouring bowers suggests local traditions...Our study excludes three explanations for spatial similarity in bower decoration usage: decoration availability, display environment and exclusively genetic factors. Instead, we found support for Diamond's (1987) suggestion that bower style is at least partly culturally transmitted."" (Madden et al. 2004)",madden2004,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,yes,males regularly visit and 'maraud' other males' nests and likely observe decorations of successful males. also learn through trial-and-error of attracting females (Madden et al. 2004),madden2004,suspected unknown,suspected unknown,suspected unknown,architecture; mating,,madden2004,not searched,not searched,700095,107
TT-QQ West dialect ravens vocal dialect,"Both males and females possess large repertoire of calls that are simpler in structure to many passerine songs. In this study, average repertoire of about 12 call types, with 81% of birds having common call repertoire with other birds. Geographic distribution of songs or dialects: ""We separated the dialect regions according to the distribution of the sex-specific repetitive calls. Both males and females had dialects: TT-calling females were paired with QQ-calling males in the west, EE-calling females with WW-calling males in the east. Several facts let us conclude that the two call types of males and females really are dialect variants and not independent types. Among all repetitive calls male dialect calls had the largest intervals between syllables, while the female calls had the shortest. This set them apart from the other repetitive calls, which were used by both sexes"" (Enggist-Dueblin et al. 2002)",enggist2002,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,"""Analysis of the distribution of call types among individuals regarding sex, partnership and neighbourhood and aspects of the geographical distribution of calls showed that the main pathway of cultural transmission was within the sexes. In addition, transmission occurred between pair partners, as well as between neighbouring and more distant pairs. About 40% of the calls in a raven’s repertoire were transmitted within a sex and 10% between pair partners. Any two given birds in the population shared on average 20% (0–77%) of their calls...In our ravens, 38% of 38 call types, which occurred in at least six pairs, were distributed according to two dialect regions; 21% were so common that they were spread over the whole study area and the remaining 41% showed no distribution related to the west–east pattern” (Enggist-Dueblin et al. 2002)",enggist2002,suspected unknown,suspected unknown,suspected unknown,vocal communication; foraging; social,"recorded calls types included alarm, feeding, and recruitment calls. ""Ravens have a large vocal repertoire [29, 30], including species-typical and individually learned calls. Among the former, many call types are well-studied with respect to call production and function (e.g. food-associated calls: [31,32,33,34] and territorial calls: [35, 36]), while comparably little is known about defensive calls. Defensive calls have been described as highly variable in duration, and are uttered as single calls or sequences of several calls when retreating from dominant conspecifics [37, 38]."" (Szipl et al. 2017)",szipl2017,not searched,not searched,700096,108
Tuanan orangutans bunk nesting,building a nest above usual resting nest during rainy weather,schupplivanschaik2019,not searched,not searched,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,architecture,,schupplivanschaik2019,not searched,not searched,700097,109
UCSD dark-eyed juncos long-range song,"males sing long- and short-range songs; long-range during breeding season. ""Male dark-eyed juncos are known to have a moderately sized song repertoire of up to seven song types (Williams & MacRoberts 1977). However, determination of repertoire sizes of individuals has been difficult to obtain as individuals repeat the same song type many times before switching to a new song type (Konishi 1964; Williams & MacRoberts 1977; Titus 1998)."" (Newman et al. 2008)",newman2008,2002,2003,suspected unknown,suspected unknown,suspected unknown,yes,"""Repertoire sizes did not differ between known first year and known older males...In addition, among the 16 males considered fully recorded in 2002 and also re-recorded in 2003 [average 99 songs/male (range 27–248) recorded in 2003], we discovered no additional song types, implying that no learning goes on beyond the first year...Neighbors shared more song types than non-neighbors and sharing decreased with the distance separating two individuals (Fig. 3). However, even among neighbors, sharing was moderate.""; ""during the non-breeding season the population is augmented by the presence of winter visitors, which bear the characteristics of individuals that breed in the nearby mountains (Yeh 2004; Yeh & Price 2004). Some individuals may stay and breed, although we have no direct evidence for this... The UCSD population was probably founded as a result of an over-wintering flock of birds remaining to breed (Yeh 2004) and these birds should have learned their songs from adults in the post-breeding period, as part of the normal learning process.""",newman2008,yes,"""Repertoire sizes did not differ between known first year and known older males...In addition, among the 16 males considered fully recorded in 2002 and also re-recorded in 2003 [average 99 songs/male (range 27–248) recorded in 2003], we discovered no additional song types, implying that no learning goes on beyond the first year...Neighbors shared more song types than non-neighbors and sharing decreased with the distance separating two individuals (Fig. 3). However, even among neighbors, sharing was moderate.""; ""during the non-breeding season the population is augmented by the presence of winter visitors, which bear the characteristics of individuals that breed in the nearby mountains (Yeh 2004; Yeh & Price 2004). Some individuals may stay and breed, although we have no direct evidence for this... The UCSD population was probably founded as a result of an over-wintering flock of birds remaining to breed (Yeh 2004) and these birds should have learned their songs from adults in the post-breeding period, as part of the normal learning process.""",newman2008,vocal communication; mating,,newman2008,not searched,not searched,700098,110
University of Washington crows scolding and mobbing,"scolding and mobbing dangerous-mask wearing humans transmitted through population after initial cohort captured and released by mask-wearing humans: ""Scolding the dangerous mask at UW has gradually involved more crows, spread over a larger area"" over 5 year period (Cornell et al. 2012)",cornell2012,not searched,not searched,yes,"""When parents were not present, families of fledglings who had observed their parents scold the dangerous mask were significantly more likely to scold the dangerous mask (7 of 11 territories) than they were to scold the same person without a mask...Horizontal and vertical transmissions of information about danger for months to years after the dangerous act was committed appeared to account for much of the scolding we observed. In our experiments, direct experience with danger or direct observation of the dangerous activity accounted for less, albeit immediate, learning in the population. Mobs where the social learning occurred included groups of knowledgeable parents and naive offspring as well as groups of territory neighbours and non-breeding individuals. Learning by young birds provides a mechanism for threat recognition to spread several kilometres per generation with normal dispersal [38]; a distance consistent with our observations around the UW site"" (Cornell et al. 2012)",cornell2012,yes,"""When parents were not present, families of fledglings who had observed their parents scold the dangerous mask were significantly more likely to scold the dangerous mask (7 of 11 territories) than they were to scold the same person without a mask...Horizontal and vertical transmissions of information about danger for months to years after the dangerous act was committed appeared to account for much of the scolding we observed. In our experiments, direct experience with danger or direct observation of the dangerous activity accounted for less, albeit immediate, learning in the population. Mobs where the social learning occurred included groups of knowledgeable parents and naive offspring as well as groups of territory neighbours and non-breeding individuals. Learning by young birds provides a mechanism for threat recognition to spread several kilometres per generation with normal dispersal [38]; a distance consistent with our observations around the UW site"" (Cornell et al. 2012)",cornell2012,suspected unknown,suspected unknown,suspected unknown,antipredation,,cornell2012,not searched,not searched,700099,111
Wollomombi Falls shrike-tits sex-specific foraging,"Crested shrike-tits are known for using beak to bark-strip and forage for invertebrates. Forages in small groups and sexually dimorphic with males larger with proportionally larger bills. At Wollomombi, sex-specific foraging in [] substrate. ""At both sites males visited dead branches and thick ribbons in eucalypts significantly more than females, which concentrated on leaves, petioles and galls in the canopy...At Wollomombi Falls, where males were observed more than twice as much as females, shrike-tits apparently spent about two-thirds of their time on various bark substrates, and the remainder on foliage. Yet at the Armidale sites, where males and females were sampled more equitably, foliage-and bark-foraging were recorded equally frequently"" (Noske 2003)",noske2003,not searched,not searched,suspected unknown,“Another possible mechanism is that young birds learn to forage in their sex-speciﬁc niche by following adults of their own sex. Such cultural transmission of foraging behaviour may be facilitated in shrike-tits by their exceptionally long period of parental care (Noske 2003)”,noske2003,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,suspected unknown,foraging,,noske2003,not searched,not searched,700100,112
Wyoming elk group bugle calls,"North American elks are polgynous and vocalization produced by males during breeding season: ""The bugle call has three major segments: (1) on-glide, a gradual increase in frequency; (2) whistle, a sustained tone; and (3) off-glide, a rapid decrease in frequency, which may be followed by staccato yelps in a minority of cases...Significant differences existed in the acoustic characteristics of bugle calls in the frequency and time domains between the source population in Wyoming and the translocated populations in Colorado and Pennsylvania...In the autumn breeding season, mature male North American elk defend groups of females that are typically accompanied by their young from the previous spring. During this time, bull elk repeatedly utter the announcement bugle calls that advertise their presence and, if challenged by a rival, they utter aggressive bugle calls (Feighny et al. 2006). Volleys of bugle calls between multiple male elk continue throughout the breeding season. Elk calves (~5 months old) are exposed to these loud, repeated auditory stimuli, potentially influencing vocal learning and vocal convergence, which has been demonstrated in another ungulate (Capra hircus; Briefer and McElligott 2012)."" (Nelson-Reinier & Clarke 2023)",nelsonreinier2023,not searched,not searched,unclear,"""The three populations have had no contact with one another since the translocations in the early 1900s and dialects may arise through drift due to genetic isolation (Somers 1973)...However, cultural transmission may influence elk bugle call characteristics and dialect development through vocal learning within the isolated populations. ...Volleys of bugle calls between multiple male elk continue throughout the breeding season. Elk calves (~5 months old) are exposed to these loud, repeated auditory stimuli, potentially influencing vocal learning and vocal convergence, which has been demonstrated in another ungulate (Capra hircus; Briefer and McElligott 2012)."" (Nelson-Reinier & Clarke 2023)",nelsonreinier2023,unclear,"""The three populations have had no contact with one another since the translocations in the early 1900s and dialects may arise through drift due to genetic isolation (Somers 1973)...However, cultural transmission may influence elk bugle call characteristics and dialect development through vocal learning within the isolated populations. ...Volleys of bugle calls between multiple male elk continue throughout the breeding season. Elk calves (~5 months old) are exposed to these loud, repeated auditory stimuli, potentially influencing vocal learning and vocal convergence, which has been demonstrated in another ungulate (Capra hircus; Briefer and McElligott 2012).""",nelsonreinier2023,unclear,"""The three populations have had no contact with one another since the translocations in the early 1900s and dialects may arise through drift due to genetic isolation (Somers 1973)...However, cultural transmission may influence elk bugle call characteristics and dialect development through vocal learning within the isolated populations. ...Volleys of bugle calls between multiple male elk continue throughout the breeding season. Elk calves (~5 months old) are exposed to these loud, repeated auditory stimuli, potentially influencing vocal learning and vocal convergence, which has been demonstrated in another ungulate (Capra hircus; Briefer and McElligott 2012).""",nelsonreinier2023,vocal communication; mating,,nelsonreinier2023,not searched,not searched,700101,113
Lomas Barbudal capuchins handsniffing,"Described as fitting criteria for behavioral tradition by Susan Perry and colleagues based on longitudinal study. ""One of these, handsniffing, involved the insertion of a finger into the nose of another monkey; this behavior was often mutual and exhibited many minor variations in form. Handsniffing was common for a period of 1–7 years in five out of the 13 groups we studied and at three of the four study sites...This behavior was not observed in 1990. From 1991 to 1997, it was commonly practiced by up to 12 individuals and 13 dyads in any given year. From 1998 to 2001, it was never seen, but females often sniffed their own hands. During 2002–2003, when there were frequent migrations, dyadic handsniffing was practiced at low frequency by 14–16 individuals and 15–16 dyads per year. The practice dwindled until by 2008, dyadic handsniffing had once again vanished from the group’s repertoire, though solo handsniffing remained"" (Perry et al. 2012)",perry2012,1991,present,unclear,"practiced in dyads, age and relationship not specified in this source",perry2012,inferred yes,"practiced in dyads, age and relationship not specified in this source",perry2012,unclear,"practiced in dyads, age and relationship not specified in this source",perry2012,social; other,"unclear purpose, sometimes in dyads and sometimes individual",perry2012,not searched,not searched,700046,114
Lomas Barbudal capuchins toy game,"""Three “games” were invented by a single monkey (Guapo of Abby’s group at Lomas Barbudal) and had roughly the same format, in which one monkey has something in its mouth that the partner tries to remove from the mouth (a finger or a tuft of hair from the partner, or an inanimate inedible object such as bark or a stick). The mouth is pried open using hands, feet, and perhaps the mouth, and the object is passed back and forth from mouth to mouth."" (Perry et al. 2012: 155)",perry2012,1991,2000,no,"""In the games, adult male-juvenile males were the primary participants. The games persisted in group repertoires for 2–3 years after the innovator (a subordinate male) became alpha male and stopped participating...",perry2012,inferred yes,"""In the games, adult male-juvenile males were the primary participants. The games persisted in group repertoires for 2–3 years after the innovator (a subordinate male) became alpha male and stopped participating...",perry2012,unclear,"""In the games, adult male-juvenile males were the primary participants. The games persisted in group repertoires for 2–3 years after the innovator (a subordinate male) became alpha male and stopped participating...",perry2012,play,described as a game,perry2012,not searched,not searched,700046,115
Lomas Barbudal Luehea foraging,"Capuchins diet consists partly of seeds from woody Luehea candida fruits, requiring physical processing such as pounding or scrubbing.",perry2009,1990,,yes,"infants experiment with techniques, with observed technique strongly predictive of eventual development of adult method for females. maternal influence in addition to other adult and peer influence: ""Using data on the most recent available Luehea-processing season from all individuals of all ages whose maternity was known (N = 106), subjects were significantly likely to use the same technique as their mothers (Fisher’s exact, P = 0.001). This result was significant for the 48 females considered alone (P = 0.002), but not for the 58 males (P = 0.18)."" (Perry 2009)",perry2009,yes,"""By the age of 6–9 months, white-faced capuchins spend an average of only 9.7% (SD 4.1, N = 25) of their time within 40 cm of their mothers, but still spend an average of 89.5% (SD 3.8, N = 25) of their time within 400 cm of at least one other monkey; so it seems possible that individuals other than the mother might be influential even at an early age. Hypothesized non-maternal social influences on food processing technique acquisition include alloparents, peers, and eventually all group members."" (Perry 2009)",perry2009,yes,"""By the age of 6–9 months, white-faced capuchins spend an average of only 9.7% (SD 4.1, N = 25) of their time within 40 cm of their mothers, but still spend an average of 89.5% (SD 3.8, N = 25) of their time within 400 cm of at least one other monkey; so it seems possible that individuals other than the mother might be influential even at an early age. Hypothesized non-maternal social influences on food processing technique acquisition include alloparents, peers, and eventually all group members."" (Perry 2009)",perry2009,foraging,,perry2009,not searched,not searched,700046,116
Wytham Woods great tits puzzle box foraging,"automated puzzle boxes with mealworms placed in Wytham Woods near Oxford, UK; various experiments seeded solutions via trained birds that spread through population as foraging traditions via social learning (Aplin et al. 2015)",aplin2015,not searched,not searched,unclear,not explicitly described,aplin2015,inferred yes,"conformist bias described: ""More conclusive evidence for such positive frequency-dependent copying was observed when only the first solution for each individual was considered, with birds disproportionately likely to initially adopt the variant used by the majority of their group"" (Aplin et al. 2015)",aplin2015,maybe/not clear,not explicitly described,aplin2015,foraging,puzzle boxes contained mealworms,aplin2015,artificially seeded tradition ,aplin2015,700102,117
Chapada dos Veadeiros capuchins stone tool nut-cracking,"Capuchins at this site use heavier stone tools made of a quartzite material. ""The differences we observed regarding stone tool weight selection among sites were not correlated to the food’s physical properties we analyzed. Lithic resource availability could partly explain some differences in the stone tools used. However, the tool weight differences are larger than the raw material variance across sites, meaning some distinctions are possible behavioral traditions, such as the same fruit (Hymenaea) being processed with bigger than needed tools in CVNP than in the other two sites. Capuchin monkey behavioral variability in stone tool use can be caused by several interacting factors, from ecological to cultural."" (Falótico et al. 2022) ",falotico2022,not searched,not searched,unclear,"main sources note that could maybe be attributed to ecological differences, however generational maintenance of tool use is known in other capuchin populations (Falótico et al. 2024)",falotico2024,unclear,not described in main source,falotico2022,maybe/not clear,not described in main source,falotico2022,foraging,nut-cracking,falotico2022,not searched,not searched,700103,118
E1 honey bee colonies waggle dance,"""The waggle dance is a sophisticated form of spatial referential communication (9). The dancer repeatedly circles in a figure-eight pattern centered around a waggle run in which the bee waggles its abdomen as it moves forward. Referential communication codes information, and the dancer encodes the polar coordinates of a resource relative to the nest. Longer waggle runs communicate greater distances (more retinal optical flow), and the waggle direction angle communicates resource direction. When a bee dances on a vertical comb in the dark, the bee points in the direction of the resource relative to the sun, as transposed to the vertical in relation to gravity. The quality of the food relative to colony need and the dancer’s prior experiences (10) are encoded in the number of waggle run repetitions and the speed with which the dancer returns to repeat each successive waggle run (11)...Foragers have the opportunity to learn from more experienced dancers. Workers become foragers as they age: They begin following waggle dancers when they are 8 days old and subsequently perform their first waggle dances when they are 12 days old (20). All workers follow waggle dances before they waggle dance (20), and most follow dances performed by older bees that have previously danced (11)"" (Dong et al. 2023). Bees with the opportunity to follow dances before they danced themselves had smaller errors and better distance encoding, indicating the importance of social learning. ",dong2023,not searched,not searched,unclear,  ,dong2023,unclear,  ,dong2023,yes,"""Foragers have the opportunity to learn from more experienced dancers. Workers become foragers as they age: They begin following waggle dancers when they are 8 days old and subsequently perform their first waggle dances when they are 12 days old (20). All workers follow waggle dances before they waggle dance (20), and most follow dances performed by older bees that have previously danced (11)."" (Dong et al. 2023)",dong2023,foraging,dance used to show directions to information about food resource,dong2023,NA (managed colonies) ,dong2023,700104,119
Kalahari sparrow weavers group PO cooperative structure building,"P. mahali are are cooperative breeders occupying long-term territories on which they build both individual sleeping roosts and breeding nests. ""Notably, structural morphology was significantly repeatable (consistent) within groups, with variation among groups greater than within groups...Birds that moved to new groups did not bring their own building style with them, as the structures in the territories containing new birds did not vary more than the structures without new birds...instead, migrants appear to conform to the architectural style of the group they join...These behavioral data show that birds that live together also build together and that this creates a group’s specific architectural style...none of the ecological factors we measured—bird size or genetic relatedness—covaried with the morphology of the structures. We conclude that cultural transmission seems the most likely explanation for our results. Birds will copy the building behavior displayed by other group members."" Factors such as temperature, distance between territories, tree height, did not explain variation. (Tello-Ramos et al. 2024)",telloramos2024,not searched,not searched,unclear,"some birds in the group are ""natal subordinates"" but transmission not explicitly discussed",telloramos2024,unclear,inferred conformist bias for building style from other group members; groups include adult migrants that adopt its structural style,telloramos2024,unclear,"some birds in the group are ""natal subordinates"" ",telloramos2024,architecture,building of individual roosts and breeding nests,telloramos2024,not searched,not searched,700105,120
Koshima macaque troop sweet-potato washing,"Monkeys observed washing sand off sweet potatoes by Kawamura and Kawai in 1953, first by a young female Imo' and spread to others in the troop over time. Described as taking place in first period, when it was a new mode of behavior and spreading among the group, and second period, where infants born after 1959 learned it as normal course of behavior from observing mothers (Kawai 1965)",kawai1965,not searched,not searched,yes,infants described as acquiring this behavior first from observing mothers ,hirata2001,yes,"""Most competent for acquiring SPW behavior are juveniles of 1-2.5 years old (Fig. 2). Almost every monkey acquired the behavior when they were at these ages..though the mechanism of acquisition is unknown, close social interaction with those who are in SPW behavior is required at the feeding time. In this lies a difference between male and female due to to their social status."" Sex differences noted- males older than four tended not to while females older than four did. Males move to periphery of troop and do not interact with juveniles and females, thus limiting these opportunities to learn. ""Kawamura once pointed out that propagation of the behavior has two courses; through playmates relations and through kinship. The course of propagation shown in Fig. 1 supports this. In this propagation it is believed that the process is mostly from child to mother, and from younger to elder brother and sister; that is, kinship propagation is from the younger to the older."" (Kawai 1965)",kawai1965,yes,"During first period: ""Most competent for acquiring SPW behavior are juveniles of 1-2.5 years old (Fig. 2). Almost every monkey acquired the behavior when they were at these ages..though the mechanism of acquisition is unknown, close social interaction with those who are in SPW behavior is required at the feeding time. In this lies a difference between male and female due to to their social status."" Sex differences noted- males older than four tended not to while females older than four did. Males move to periphery of troop and do not interact with juveniles and females, thus limiting these opportunities to learn. ""Kawamura once pointed out that propagation of the behavior has two courses; through playmates relations and through kinship. The course of propagation shown in Fig. 1 supports this. In this propagation it is believed that the process is mostly from child to mother, and from younger to elder brother and sister; that is, kinship propagation is from the younger to the older."" (Kawai 1965)",kawai1965,foraging,,kawai1965,provisioned troop,kawai1965,700106,121
Mahale K-group chimpanzees grooming-handclasp,"""Each of the participants simultaneously extends an arm overhead and then either one clasps the other's wrist or hand, or both clasp each other's hand. Meanwhile, the other hand engages in social grooming of the other individual's underarm area revealed by the upraised limb, using typical finger movements. In doing this, the two chimpanzees sit facing each other on the ground in a symmetrical configuration. Either both raise their right arms and groom with their left, or vice-versa. With one exception (see below) the participants engage in dyadic and mutual (as opposed to polyadic or reciprocal) social grooming"" (McGrew & Tutin 1978)",mcgrew1978,not searched,not searched,suspected unknown,not described ,nakamura2004,suspected unknown,"individual GW who transferred to M-group from K-group possibly transmitted palm-to-palm to some individuals in latter; ""The occurrences of the palm-to-palm handclasp in M-group do not mean that GW had successfully transmitted the pattern to M-group, because it was much less frequent than in K-group and no M-group individual performed it without her"" (Nakamura & Uehara 2004)",nakamura2004,suspected unknown,not described,nakamura2004,social,part of grooming/social bonding behavior ,mcgrew1978,not searched,not searched,700107,122
Mahale M-group chimpanzees rain dance,"""At the start of heavy rain, several adult males perform vigorous charging displays. Displays tend to return the males to their starting position, to be coordinated or in parallel, may include slow charges as well as rapid and may involve a variety of display patterns (e.g. group slap, buttress-beat, branch drag, pant-hoots) (Goodall, 1971; Wrangham, unpubl., Boesch, unpubl.)...At Mahale, Nishida discriminated two versions, a 'noisy, vigorous type' involving several adult males and a 'silent, slow type' involving a single male."" (Whiten et al. 2001)",whiten2001,not searched,not searched,suspected unknown, ,whiten2001,suspected unknown,  ,whiten2001,suspected unknown,  ,whiten2001,other,,whiten2001,not searched,not searched,700108,123
Gombe chimpanzees rain dance,"""At the start of heavy rain, several adult males perform vigorous charging displays. Displays tend to return the males to their starting position, to be coordinated or in parallel, may include slow charges as well as rapid and may involve a variety of display patterns (e.g. group slap, buttress-beat, branch drag, pant-hoots) (Goodall, 1971; Wrangham, unpubl., Boesch, unpubl.)...for Gombe, Kamenya (pers. comm.) described rain dance as 'mainly fast'."" (Whiten et al. 2001)",whiten2001,not searched,not searched,suspected unknown,  ,whiten2001,suspected unknown,  ,whiten2001,suspected unknown,  ,whiten2001,other,,whiten2001,not searched,not searched,700109,124
Taï chimpanzees rain dance,"""At the start of heavy rain, several adult males perform vigorous charging displays. Displays tend to return the males to their starting position, to be coordinated or in parallel, may include slow charges as well as rapid and may involve a variety of display patterns (e.g. group slap, buttress-beat, branch drag, pant-hoots) (Goodall, 1971; Wrangham, unpubl., Boesch, unpubl.)...At Taï a rain dance is said to be totally silent and like a slow-motion version of a normal display"" (Whiten et al. 2001)",whiten2001,not searched,not searched,suspected unknown,  ,whiten2001,suspected unknown,  ,whiten2001,suspected unknown,  ,whiten2001,other,,whiten2001,not searched,not searched,700113,125
Daeli great tits nest site choice,"Birds breed in nestboxes at long-term study site woodland area Dæli, near Oslo. ""Most blue tits bred in small nestboxes, whereas most great tits used the large boxes. Size of the natal nestbox affected subsequent box choice. In addition, in blue tits, more cross-fostered birds than controls nested in large nestboxes, with an opposite result for cross-fostered great tits. Apparently, as a consequence of sexual misimprinting on their foster parents, the cross-fostered young used members of the foster species as models for subsequent nest site choice"" (Slagsvold et al. 2013)",slagsvold2013,not searched,not searched,yes,"""nest site choice is influenced both by experience gained from the natal nest site and by learning later in life from individuals perceived as conspecifics. That is, social learning is involved through both vertical and horizontal transmission of information."" (Slagsvold et al. 2013)",slagsvold2013,yes,"""nest site choice is influenced both by experience gained from the natal nest site and by learning later in life from individuals perceived as conspecifics. That is, social learning is involved through both vertical and horizontal transmission of information."" (Slagsvold et al. 2013)",slagsvold2013,inferred no,results indicate importance of vertical and horizontal transmission,slagsvold2013,mating,choice of nest site for breeding and egg incubation,slagsvold2013,experimental cross-fostering in longitudinal study site ,slagsvold2013,700114,126
Tanjung Puting orangutans snag-riding,"""Ride on pushed-over snag as it falls, then grab on to vegetation before it crashes on ground"". van Schaik et al. 2003 classify as customary at this site and absent at other orangutan sites; ""very likely cultural variant"" (van Schaik et al. 2003)",vanschaik2003,not searched,not searched,suspected unknown,  described as part of display by adult males by Galdikas (1983),galdikas1983,suspected unknown,  ,galdikas1983,suspected unknown,  ,galdikas1983,social,described as way for males to amplify social dominance calls (Galdikas 1983),galdikas1983,not searched,not searched,700111,127
